#,Player,Nation,Position,Team,League,Age,Born,90s,TotPass,PassAtt,TotDist,PrgDist,ShortPass,ShortPassAtt,MedPass,MedPassAtt,LongPass,LongPassAtt,Asissts,Goals,Shoots,SoT,FreeKicks,SCA,PassLiveToShoot,PassDeadToShoot,DribToShoot,ShootToShoot,FoulToShoot,DefToShoot,GCA,PassLiveToGoal,PassDeadToGoal,DribToGoal,ShootToGoal,FoulToGoal,DefToGoal
581,Hélder Costa\f13d02a6,ao ANG,MFFW,Valencia,es La Liga,27,1994,12.4,188,293,2970,923,103,140,71,101,10,32,1,0,9,2,0,33,27,2,3,0,0,1,2,2,0,0,0,0,0
582,Jaume Costa\808d48f3,es ESP,DF,Mallorca,es La Liga,33,1988,20.3,734,1001,12777,5490,350,404,308,403,67,157,4,0,10,2,0,38,31,4,0,0,1,2,6,5,0,0,0,0,1
583,Benoît Costil\2434f24a,fr FRA,GK,Bordeaux,fr Ligue 1,34,1987,25.0,623,899,21583,13543,83,84,225,227,314,587,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
584,Vladimír Coufal\fdf3cb77,cz CZE,DF,West Ham,eng Premier League,28,1992,24.5,982,1417,16708,7662,465,549,419,572,80,230,4,0,11,4,0,46,35,8,0,1,1,1,7,6,1,0,0,0,0
585,Kalifa Coulibaly\9980269a,ml MLI,FW,Nantes,fr Ligue 1,29,1991,9.4,119,202,1422,321,91,130,19,52,5,7,0,5,27,11,0,21,16,0,1,2,0,2,0,0,0,0,0,0,0
586,Lassana Coulibaly\85a44ecc,ml MLI,MF,Salernitana,it Serie A,25,1996,25.9,700,856,11786,3278,348,400,270,318,70,99,0,0,22,7,0,32,24,0,0,3,4,1,0,0,0,0,0,0,0
587,Mamadou Coulibaly\c976160c,sn SEN,MF,Salernitana,it Serie A,22,1999,9.0,254,333,4400,1284,118,143,104,123,27,43,0,2,10,4,0,21,16,1,1,1,2,0,1,0,0,1,0,0,0
588,Tanguy Coulibaly\05ba9d7c,fr FRA,DFFW,Stuttgart,de Bundesliga,20,2001,12.0,259,340,3831,841,151,178,92,123,11,20,1,0,13,3,0,21,13,0,3,0,3,2,1,1,0,0,0,0,0
589,Thibaut Courtois\1840e36d,be BEL,GK,Real Madrid,es La Liga,29,1992,36.0,936,1139,23757,12759,176,176,516,517,239,441,0,0,0,0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0
590,Philippe Coutinho\0ef89a37,br BRA,MFFW,Aston Villa,eng Premier League,29,1992,14.8,527,641,9021,2278,271,309,187,216,55,84,3,5,43,16,5,54,38,4,4,5,3,0,6,5,0,0,1,0,0
591,Philippe Coutinho\0ef89a37,br BRA,MFFW,Barcelona,es La Liga,29,1992,5.6,275,328,4269,1033,166,175,73,93,26,44,0,2,23,6,1,16,11,2,1,0,1,1,4,3,0,0,0,1,0
592,Nicolas Cozza\8f325097,fr FRA,DF,Montpellier,fr Ligue 1,22,1999,30.8,1133,1380,22995,6991,355,404,588,675,169,257,2,2,6,3,0,23,18,1,1,0,3,0,5,4,0,1,0,0,0
593,Alessio Cragno\f554e29b,it ITA,GK,Cagliari,it Serie A,27,1994,35.0,755,1214,28676,20921,110,111,217,223,424,876,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
594,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,eng Premier League,31,1989,30.3,1641,2047,29789,12432,733,791,711,807,179,382,3,2,18,3,8,49,27,20,0,2,0,0,5,2,3,0,0,0,0
595,Charlie Cresswell\4654e5f5,eng ENG,DF,Leeds United,eng Premier League,18,2002,1.6,72,96,1599,476,17,19,42,46,13,30,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
596,Domenico Criscito\35dd6d80,it ITA,DF,Genoa,it Serie A,34,1986,18.0,791,1005,15438,6077,291,317,388,450,101,212,1,6,17,0,0,19,13,3,0,2,0,1,2,1,0,0,0,0,1
597,Bryan Cristante\16657b95,it ITA,MF,Roma,it Serie A,26,1995,29.8,1478,1794,32147,9513,470,560,700,789,293,405,0,2,39,5,0,49,39,0,0,7,1,2,1,0,0,0,1,0,0
598,Cristo\ad81ba78,es ESP,DF,Real Sociedad,es La Liga,21,2000,0.2,11,12,182,109,6,6,2,2,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
599,Enzo Crivelli\06f33dc8,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,26,1995,1.1,17,23,222,36,9,12,6,7,0,1,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
600,Domen Črnigoj\22cd43d2,si SVN,MFDF,Venezia,it Serie A,25,1995,20.9,499,670,9152,2757,244,290,177,227,65,105,1,3,33,12,0,23,21,0,1,0,0,1,1,1,0,0,0,0,0
601,Giovanni Crociata\8c964914,it ITA,FW,Empoli,it Serie A,23,1997,0.2,7,9,92,18,5,6,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,Juan Cruz Armada\a56da3ba,es ESP,DF,Osasuna,es La Liga,29,1992,21.5,786,951,16138,5992,254,282,417,475,111,179,0,0,3,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0
603,Juan Cuadrado\0ab1f153,co COL,DFMF,Juventus,it Serie A,33,1988,27.6,1589,1868,32670,10204,600,655,711,793,266,385,3,4,36,13,5,107,71,21,7,2,3,3,11,6,1,3,0,1,0
604,Cucho\71b47ab9,co COL,FWMF,Watford,eng Premier League,22,1999,12.7,254,394,4540,1604,126,164,80,115,39,80,2,5,35,10,5,40,26,4,5,3,1,1,6,3,1,0,1,0,1
605,Marc Cucurella\1daec722,es ESP,DF,Brighton,eng Premier League,23,1998,34.3,1895,2322,31827,11389,937,1032,770,894,152,281,1,1,18,3,0,78,66,7,1,2,1,1,2,1,1,0,0,0,0
606,Marc Cucurella\1daec722,es ESP,FWDF,Getafe,es La Liga,23,1998,0.3,15,21,203,35,10,11,4,5,0,3,0,0,1,0,0,4,1,1,1,0,0,1,0,0,0,0,0,0,0
607,Jorge Cuenca\0abc51f2,es ESP,DF,Getafe,es La Liga,21,1999,29.8,747,1070,16527,6548,211,271,387,470,139,303,0,1,16,6,0,7,6,0,0,0,1,0,1,1,0,0,0,0,0
608,Mickaël Cuisance\5722eced,fr FRA,MF,Bayern Munich,de Bundesliga,21,1999,0.1,10,11,215,62,4,4,1,1,4,5,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0
609,Mickaël Cuisance\5722eced,fr FRA,MF,Venezia,it Serie A,21,1999,10.2,285,367,5602,1504,115,134,120,149,47,72,0,0,6,1,2,21,17,1,0,2,1,0,1,1,0,0,0,0,0
610,Luke Cundle\cc3b8e78,eng ENG,MF,Wolves,eng Premier League,19,2002,2.0,96,106,1825,298,33,35,46,51,13,15,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
611,Matheus Cunha\dc62b55d,br BRA,FW,Atlético Madrid,es La Liga,22,1999,11.8,167,233,2417,532,98,121,50,64,10,20,4,6,36,14,0,22,12,0,0,3,6,1,7,4,0,0,1,2,0
612,Matheus Cunha\dc62b55d,br BRA,FW,Hertha BSC,de Bundesliga,22,1999,0.7,12,13,166,38,6,6,3,4,1,1,1,0,3,1,0,3,1,0,0,2,0,0,1,0,0,0,1,0,0
613,Patrick Cutrone\a4fe8cda,it ITA,FW,Empoli,it Serie A,23,1998,15.6,172,253,2747,548,96,123,57,80,15,27,0,3,51,15,0,24,19,0,1,0,1,3,3,2,0,0,0,1,0
614,Wylan Cyprien\3e092724,fr FRA,MF,Nantes,fr Ligue 1,26,1995,16.6,731,906,14507,3822,294,325,290,341,127,198,3,2,21,8,3,51,28,17,1,4,0,1,8,3,2,0,2,0,1
615,Rafael Czichos\b0a0698b,de GER,DF,Köln,de Bundesliga,31,1990,15.6,873,1042,22157,8301,132,162,472,513,265,350,1,0,2,0,0,7,6,0,0,0,0,1,2,1,0,0,0,0,1
616,Lennart-Marten Czyborra\7ba1f1ef,de GER,DF,Arminia,de Bundesliga,22,1999,1.5,29,57,524,218,14,18,10,22,5,12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
617,Danilo D'Ambrosio\44eb9093,it ITA,DF,Inter,it Serie A,32,1988,11.1,654,737,12600,3739,262,280,295,315,88,124,1,1,14,3,0,8,7,0,0,0,0,1,3,3,0,0,0,0,0
618,Lucas Da Cunha\007faf7a,fr FRA,MF,Nice,fr Ligue 1,20,2001,4.4,122,167,2143,652,66,77,31,44,22,38,1,0,11,3,1,21,12,5,0,1,2,1,1,1,0,0,0,0,0
619,Lucas Da Cunha\007faf7a,fr FRA,FWMF,Clermont Foot,fr Ligue 1,20,2001,9.3,279,334,4846,1277,146,161,83,100,39,54,0,2,19,6,0,26,19,3,4,0,0,0,1,1,0,0,0,0,0
620,Damien Da Silva\1ec7e1c5,fr FRA,DF,Lyon,fr Ligue 1,33,1988,12.5,788,883,17568,5357,194,207,436,461,154,206,0,0,12,1,0,8,5,0,0,3,0,0,0,0,0,0,0,0,0
621,Moanes Dabbur\eac044ad,il ISR,FWMF,Hoffenheim,de Bundesliga,29,1992,14.6,361,482,5227,1365,205,257,117,143,19,35,4,3,33,9,0,34,26,0,1,4,1,2,7,6,0,0,0,0,1
622,Colin Dagba\29c02c9f,fr FRA,DF,Paris S-G,fr Ligue 1,22,1998,1.8,128,140,1811,390,71,75,52,57,3,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
623,Finn Dahmen\dee3013b,de GER,GK,Mainz 05,de Bundesliga,23,1998,2.0,63,80,1435,479,16,17,36,37,11,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624,Mahmoud Dahoud\db4ed67b,de GER,MF,Dortmund,de Bundesliga,25,1996,18.4,847,1069,15748,4352,341,400,387,444,101,176,3,2,22,4,0,53,44,5,2,0,0,2,5,4,0,1,0,0,0
625,Patson Daka\ca45605e,zm ZAM,FW,Leicester City,eng Premier League,22,1998,12.9,172,223,2498,360,106,126,53,68,8,10,3,5,26,15,0,24,21,0,0,1,1,1,7,5,0,0,1,0,1
626,Stuart Dallas\67ca8566,nir NIR,DFMF,Leeds United,eng Premier League,30,1991,32.4,1312,1666,23028,8378,659,724,482,577,145,287,1,1,31,8,0,64,38,18,2,1,2,3,3,2,0,0,0,0,1
627,Diogo Dalot\d9565625,pt POR,DF,Manchester Utd,eng Premier League,22,1999,20.0,934,1171,18629,6793,363,418,430,508,137,222,0,0,13,4,0,37,33,1,2,0,1,0,5,5,0,0,0,0,0
628,Mikkel Damsgaard\215f3907,dk DEN,MFFW,Sampdoria,it Serie A,21,2000,6.4,203,268,3298,927,106,126,74,97,19,33,0,0,11,2,1,25,20,1,0,1,2,1,1,1,0,0,0,0,0
629,Flavius Daniliuc\7ef972c3,at AUT,DF,Nice,fr Ligue 1,20,2001,14.4,773,864,15170,5156,264,285,402,440,100,124,0,0,4,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
630,Danilo\94b2001f,br BRA,DFMF,Juventus,it Serie A,30,1991,21.0,1262,1450,24991,9267,431,458,648,710,167,250,2,1,14,3,0,37,30,2,0,3,2,0,3,2,0,0,1,0,0
631,Kevin Danso\6e33125f,at AUT,DF,Lens,fr Ligue 1,22,1998,31.0,1620,1839,34933,10305,411,449,925,998,277,373,2,2,13,4,0,16,13,0,0,1,1,1,4,3,0,0,0,1,0
632,Dante\fd2bc67d,br BRA,DF,Nice,fr Ligue 1,37,1983,31.9,2146,2366,46670,15158,572,595,1205,1274,361,472,0,0,13,2,0,24,21,0,0,1,1,1,3,1,0,0,1,1,0
633,Ebrima Darboe\cf043a33,gm GAM,MF,Roma,it Serie A,20,2001,0.7,38,40,921,150,6,6,20,22,11,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,Márton Dárdai\41bff4fa,de GER,DF,Hertha BSC,de Bundesliga,19,2002,8.4,268,371,6963,2916,39,47,142,168,84,147,1,0,4,3,0,5,3,2,0,0,0,0,1,0,1,0,0,0,0
635,Sergi Darder\070a3904,es ESP,MF,Espanyol,es La Liga,27,1993,34.7,1442,1746,28706,8082,593,653,594,671,230,360,9,3,44,17,0,88,68,7,1,4,4,4,14,13,0,0,1,0,0
636,Vladimír Darida\3eb0f2df,cz CZE,MF,Hertha BSC,de Bundesliga,30,1990,19.8,689,957,13134,4043,290,343,289,359,95,199,5,2,24,9,1,48,31,11,0,3,3,0,6,6,0,0,0,0,0
637,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,eng Premier League,30,1990,8.0,152,253,6707,4585,15,15,41,42,96,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
638,Matteo Darmian\96e0490d,it ITA,DF,Inter,it Serie A,31,1989,16.7,563,701,9943,4010,249,277,250,301,52,83,1,2,8,4,0,43,36,1,0,2,2,2,4,4,0,0,0,0,0
639,Josh Dasilva\60344e4f,eng ENG,MFFW,Brentford,eng Premier League,22,1998,2.9,71,88,1232,306,29,32,36,45,4,7,0,0,1,0,0,5,4,0,0,0,1,0,0,0,0,0,0,0,0
640,Jonathan David\ce50fd99,ca CAN,FW,Lille,fr Ligue 1,21,2000,31.2,527,668,7753,1674,295,353,176,217,31,43,0,15,66,30,0,69,53,0,4,6,4,2,5,3,0,1,0,0,1
641,Alphonso Davies\d781d855,ca CAN,DF,Bayern Munich,de Bundesliga,20,2000,19.3,1123,1335,18799,5254,538,609,497,574,74,112,3,0,18,6,0,60,43,5,7,2,2,1,5,3,1,1,0,0,0
642,Ben Davies\44781702,wls WAL,DF,Tottenham,eng Premier League,28,1993,28.2,1375,1600,25844,8737,524,563,712,785,122,199,1,1,19,7,0,29,27,1,0,1,0,0,4,3,0,0,1,0,0
643,Tom Davies\9228b07c,eng ENG,MF,Everton,eng Premier League,23,1998,2.6,60,79,959,231,30,32,23,30,4,8,0,1,6,2,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0
644,Keinan Davis\9deaf2c8,eng ENG,FW,Aston Villa,eng Premier League,23,1998,0.1,3,3,49,30,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,Paweł Dawidowicz\16bb656a,pl POL,DF,Hellas Verona,it Serie A,26,1995,13.3,526,610,9979,2922,196,208,248,285,70,92,0,0,5,0,0,9,6,0,0,0,1,2,1,1,0,0,0,0,0
646,Craig Dawson\3e9e06cb,eng ENG,DF,West Ham,eng Premier League,31,1990,30.6,1015,1234,23629,7149,288,316,472,522,247,375,2,2,25,5,0,11,6,0,1,4,0,0,5,3,0,0,2,0,0
647,Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,eng Premier League,30,1991,24.5,1172,1553,22303,6186,520,600,464,582,166,311,8,15,77,31,7,139,94,32,3,5,5,0,14,8,3,2,0,1,0
648,Konrad De La Fuente\4b77bb89,us USA,FWDF,Marseille,fr Ligue 1,20,2001,8.7,188,239,2960,640,105,118,69,83,11,22,2,0,15,4,0,21,17,0,3,1,0,0,5,3,0,1,1,0,0
649,Sebastien De Maio\952a03fe,fr FRA,DF,Udinese,it Serie A,34,1987,2.0,53,75,1202,529,13,15,31,35,9,24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
650,Tommaso De Nipoti\7f9d956a,it ITA,MF,Atalanta,it Serie A,18,2003,0.1,1,2,9,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
651,Rodrigo De Paul\162efffd,ar ARG,MF,Atlético Madrid,es La Liga,27,1994,23.9,1125,1420,23080,7494,453,512,428,490,213,356,1,3,23,9,0,85,57,23,1,1,1,2,5,4,1,0,0,0,0
652,Mattia De Sciglio\ae4e2852,it ITA,DF,Juventus,it Serie A,28,1992,13.0,543,668,10667,3955,220,251,242,276,74,119,2,1,6,2,0,30,26,2,0,1,1,0,3,3,0,0,0,0,0
653,Lorenzo De Silvestri\e74f0e59,it ITA,DF,Bologna,it Serie A,33,1988,25.5,999,1346,16843,8530,494,595,411,510,80,184,2,3,16,6,0,39,28,7,0,2,2,0,2,2,0,0,0,0,0
654,Saulo Decarli\41df88b8,ch SUI,DF,Bochum,de Bundesliga,29,1992,0.1,6,6,145,14,1,1,3,3,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655,Troy Deeney\82e34b69,eng ENG,FW,Watford,eng Premier League,33,1988,0.3,3,6,38,16,2,4,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
656,Grégoire Defrel\854ee61a,mq MTQ,FW,Sassuolo,it Serie A,30,1991,15.1,341,399,4630,658,215,239,96,114,15,22,2,2,27,10,0,48,37,0,4,3,2,2,2,2,0,0,0,0,0
657,Alessandro Deiola\7f267d66,it ITA,MF,Cagliari,it Serie A,25,1995,23.7,600,771,11938,2620,224,274,256,320,103,138,1,4,26,11,0,31,26,0,0,4,0,1,4,3,0,0,1,0,0
658,Romain Del Castillo\0be95d34,fr FRA,MFFW,Rennes,fr Ligue 1,25,1996,0.3,11,15,238,91,4,5,2,3,5,6,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
659,Romain Del Castillo\0be95d34,fr FRA,MFFW,Brest,fr Ligue 1,25,1996,10.8,324,437,5026,1494,184,221,105,133,27,61,6,0,12,3,0,29,20,3,2,2,2,0,8,5,2,0,0,1,0
660,Thomas Delaine\8332db56,fr FRA,DF,Metz,fr Ligue 1,29,1992,25.7,867,1166,14664,6252,425,479,365,465,63,169,2,1,18,5,0,49,38,5,4,1,0,1,2,2,0,0,0,0,0
661,Thomas Delaney\fe641c1a,dk DEN,MF,Sevilla,es La Liga,29,1991,17.2,632,801,12054,2924,268,306,248,302,103,162,1,2,17,5,0,15,11,0,0,2,1,1,2,1,0,0,1,0,0
662,Thomas Delaney\fe641c1a,dk DEN,MF,Dortmund,de Bundesliga,29,1991,0.2,11,15,129,31,7,8,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663,Liam Delap\dd897ee7,eng ENG,FW,Manchester City,eng Premier League,18,2003,0.1,1,1,15,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
664,Sacha Delaye\e4448c8c,fr FRA,MFFW,Montpellier,fr Ligue 1,19,2002,2.9,68,90,1084,380,39,47,17,23,7,14,1,0,3,0,0,6,3,0,1,1,0,1,2,1,0,1,0,0,0
665,Filippo Delli Carri\d2e8fd9b,it ITA,DF,Salernitana,it Serie A,22,1999,3.7,86,120,1419,772,40,48,38,50,6,14,0,0,4,2,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0
666,Andy Delort\d33c706e,dz ALG,FW,Nice,fr Ligue 1,29,1991,27.2,420,685,6456,1348,231,329,126,213,37,79,2,16,98,37,7,67,49,0,5,5,5,3,10,7,0,0,1,2,0
667,Andy Delort\d33c706e,dz ALG,FW,Montpellier,fr Ligue 1,29,1991,3.0,56,96,1037,258,30,43,18,30,8,13,1,2,14,5,0,12,11,0,0,1,0,0,1,0,0,0,1,0,0
668,Fabian Delph\111c3236,eng ENG,MF,Everton,eng Premier League,31,1989,7.4,263,308,5253,1300,117,124,94,110,48,62,0,0,2,0,0,5,4,0,0,0,0,1,0,0,0,0,0,0,0
669,Moussa Dembélé\e7986081,fr FRA,FW,Lyon,fr Ligue 1,25,1996,24.5,308,443,3845,486,183,242,77,111,12,28,4,21,84,37,0,65,44,0,6,5,7,3,15,7,0,2,2,4,0
670,Ousmane Dembélé\b19db005,fr FRA,FW,Barcelona,es La Liga,24,1997,15.7,609,822,10521,2965,318,366,212,280,64,130,13,1,49,9,2,82,56,12,9,3,2,0,16,12,3,1,0,0,0
671,Yusuf Demir\fa265f6d,at AUT,FW,Barcelona,es La Liga,18,2003,2.1,77,85,969,186,52,55,19,22,2,4,0,0,1,0,0,5,0,3,0,0,2,0,0,0,0,0,0,0,0
672,Merih Demiral\e3cceee6,tr TUR,DF,Atalanta,it Serie A,23,1998,21.3,703,805,15350,3501,175,198,391,427,127,160,2,1,25,6,0,8,3,1,0,4,0,0,3,0,0,0,3,0,0
673,Kerem Demirbay\54b4dc4e,de GER,MF,Leverkusen,de Bundesliga,28,1993,22.8,1071,1400,23067,7738,391,456,423,502,227,381,4,1,36,11,6,67,27,32,3,2,3,0,11,7,2,1,0,1,0
674,Ermedin Demirović\ed79b7d3,ba BIH,FWMF,Freiburg,de Bundesliga,23,1998,9.7,113,175,1487,269,76,106,27,42,6,11,3,2,26,9,0,18,13,0,0,5,0,0,6,5,0,0,1,0,0
675,Diego Demme\dc3fa3b5,de GER,MF,Napoli,it Serie A,29,1991,7.7,541,600,9099,2211,271,288,214,231,44,66,0,1,2,1,0,18,14,0,0,1,2,1,1,1,0,0,0,0,0
676,Jason Denayer\47af88b8,be BEL,DF,Lyon,fr Ligue 1,26,1995,11.1,698,739,15036,4120,201,209,367,380,125,144,0,3,6,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
677,Leander Dendoncker\5a7301ae,be BEL,MF,Wolves,eng Premier League,26,1995,21.7,709,812,12399,2333,323,368,295,322,73,88,2,2,23,10,0,28,26,0,0,1,0,1,8,6,0,0,1,0,1
678,Emmanuel Dennis\2c44a35d,ng NGA,FWMF,Watford,eng Premier League,23,1997,28.7,431,633,6406,1891,255,329,125,180,32,56,6,10,61,27,6,91,54,2,17,8,8,2,12,7,0,1,2,1,1
679,Fabio Depaoli\d97f2e8d,it ITA,DF,Hellas Verona,it Serie A,24,1997,7.8,183,290,3258,1735,90,116,70,94,20,59,1,1,9,4,0,11,9,1,0,0,1,0,1,1,0,0,0,0,0
680,Fabio Depaoli\d97f2e8d,it ITA,MFDF,Sampdoria,it Serie A,24,1997,1.2,22,33,401,153,10,10,9,11,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
681,Memphis Depay\8f696594,nl NED,FW,Barcelona,es La Liga,27,1994,20.6,725,965,10974,2829,460,519,173,239,65,146,2,12,56,29,6,76,43,18,6,3,6,0,11,5,1,2,1,2,0
682,Mike van der Hoorn\25f50295,nl NED,DF,Arminia,de Bundesliga,28,1992,0.2,3,4,72,9,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683,Arthur Desmas\e8c5dd4d,fr FRA,GK,Clermont Foot,fr Ligue 1,27,1994,14.5,297,414,7127,3994,91,91,113,115,84,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
684,Sergiño Dest\5976f83e,us USA,DFFW,Barcelona,es La Liga,20,2000,16.8,880,1000,13944,4131,470,497,358,403,44,72,3,0,12,3,0,39,30,1,7,0,1,0,3,3,0,0,0,0,0
685,Mattia Destro\d7d32194,it ITA,FW,Genoa,it Serie A,30,1991,19.4,210,347,2885,726,136,201,55,99,10,22,1,9,55,21,0,24,16,0,3,3,2,0,4,2,0,1,0,1,0
686,Gerard Deulofeu\39583cfd,es ESP,FWMF,Udinese,it Serie A,27,1994,29.1,772,1106,13306,5007,392,478,281,348,85,195,5,13,76,33,13,137,82,35,7,7,5,1,11,6,2,0,2,1,0
687,Kiernan Dewsbury Hall\5c74c0f5,eng ENG,MF,Leicester City,eng Premier League,22,1998,23.4,941,1220,15939,4069,461,530,374,466,85,171,3,1,21,3,1,66,49,3,4,3,5,2,6,5,1,0,0,0,0
688,Jacopo Dezi\e921b9db,it ITA,MF,Venezia,it Serie A,29,1992,0.2,22,26,495,144,5,6,14,15,3,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
689,Samuel Di Carmine\ef94dc2f,it ITA,FW,Hellas Verona,it Serie A,32,1988,0.4,5,5,81,8,3,3,2,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
690,Federico Di Francesco\1fca9171,it ITA,FWMF,Empoli,it Serie A,27,1994,15.2,258,385,4239,1348,145,179,74,112,24,58,0,5,25,8,0,40,30,1,1,3,4,1,5,2,1,0,1,1,0
691,Giovanni Di Lorenzo\230a2fac,it ITA,DF,Napoli,it Serie A,27,1993,31.9,2032,2309,34532,12444,978,1060,863,944,158,213,4,1,20,5,0,65,56,2,3,3,1,0,7,4,1,0,2,0,0
692,Ángel Di María\19cda00b,ar ARG,FW,Paris S-G,fr Ligue 1,33,1988,18.3,895,1179,15850,4357,462,538,304,385,116,208,7,5,51,22,1,95,69,14,6,3,2,1,13,12,0,0,0,1,0
693,Francesco Di Mariano\35a2557c,it ITA,FW,Venezia,it Serie A,25,1996,0.7,11,14,230,28,3,4,5,6,3,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
694,Francesco Di Tacchio\b5c3ff9f,it ITA,MF,Salernitana,it Serie A,31,1990,13.9,433,536,7982,2557,182,206,175,203,63,102,0,0,14,1,1,9,7,1,0,1,0,0,0,0,0,0,0,0,0
695,Boulaye Dia\244bc2c8,sn SEN,FW,Villarreal,es La Liga,24,1996,14.1,195,257,2829,375,102,130,69,84,8,16,5,5,37,11,0,32,24,0,3,2,0,3,7,5,0,1,1,0,0
696,Moussa Diaby\aeed5c06,fr FRA,FWMF,Leverkusen,de Bundesliga,22,1999,30.7,759,1017,13598,3660,358,438,296,368,92,151,12,13,53,27,0,103,85,7,8,1,1,1,16,15,0,0,1,0,0
697,Yadaly Diaby\5630a6e0,fr FRA,FWMF,Clermont Foot,fr Ligue 1,20,2000,0.7,12,20,148,11,8,13,2,4,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
698,Mouctar Diakhaby\d2110326,gn GUI,DF,Valencia,es La Liga,24,1996,21.6,542,700,13316,4453,120,146,268,306,149,237,1,0,8,1,0,9,6,0,1,0,1,1,1,1,0,0,0,0,0
699,Ibrahim Diakité\d8c19a60,fr FRA,MF,Reims,fr Ligue 1,17,2003,0.0,1,3,17,16,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,Abdou Diallo\fc62f087,sn SEN,DF,Paris S-G,fr Ligue 1,25,1996,9.7,625,699,11314,4235,257,278,297,319,63,87,1,0,2,1,0,5,5,0,0,0,0,0,1,1,0,0,0,0,0
701,Habib Diallo\6605d143,sn SEN,FW,Strasbourg,fr Ligue 1,26,1995,17.1,267,373,3732,605,169,215,71,100,15,23,1,11,50,22,0,33,23,0,4,4,2,0,9,5,0,2,1,1,0
702,Ibrahima Diallo\11ff3d56,fr FRA,MF,Southampton,eng Premier League,22,1999,11.4,357,438,6245,1432,171,204,149,171,29,42,2,0,8,4,0,29,25,0,2,0,1,1,4,4,0,0,0,0,0
703,Mouhamadou Diarra\6d0fe035,sn SEN,MF,Strasbourg,fr Ligue 1,17,2004,1.2,51,59,1117,173,16,16,21,25,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
704,Stéphane Diarra\29939a1d,fr FRA,FWMF,Lorient,fr Ligue 1,22,1998,5.8,142,198,2500,524,74,90,49,65,16,29,0,0,12,4,0,30,16,2,2,5,3,2,4,0,0,0,1,2,1
705,Raphael Dias Belloli\3423f250,br BRA,FWMF,Leeds United,eng Premier League,24,1996,32.4,817,1281,15061,6139,386,471,281,404,117,310,3,11,85,21,10,119,66,22,13,9,6,3,9,4,0,2,0,2,1
706,Rúben Dias\31c69ef1,pt POR,DF,Manchester City,eng Premier League,24,1997,26.7,2097,2224,45031,11468,566,594,1189,1224,336,389,4,2,18,4,0,30,26,0,0,3,0,1,6,4,0,0,2,0,0
